molecule_id	title	formula	smiles	inchi	inchikey	mw
pbm-000098	L-Glutamine	C5H10N2O3	C(CC(=O)N)C(C(=O)O)N	InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)	ZDXPYRJPNDTMRX-UHFFFAOYSA-N	146.1399993896
pbm-000099	L-Asparagine	C4H8N2O3	C(C(C(=O)O)N)C(=O)N	InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)	DCXYFEDJOCDNAF-UHFFFAOYSA-N	132.1199951172
pbm-000100	L-Proline	C5H9NO2	C1CC(NC1)C(=O)O	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)	ONIBWKKTOPOVIA-UHFFFAOYSA-N	115.1299972534
pbm-000105	methanediol	CH4O2	C(O)O	InChI=1S/CH4O2/c2-1-3/h2-3H,1H2	CKFGINPQOCXMAZ-UHFFFAOYSA-N	48.0410003662
pbm-000108	Methanol	CH4O	CO	InChI=1S/CH4O/c1-2/h2H,1H3	OKKJLVBELUTLKV-UHFFFAOYSA-N	32.0419998169
pbm-000110	ethylene glycol	C2H6O2	C(CO)O	InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2	LYCAIKOWRPUZTN-UHFFFAOYSA-N	62.0699996948
pbm-000111	vinyl alcohol	C2H4O	C=CO	InChI=1S/C2H4O/c1-2-3/h2-3H,1H2	IMROMDMJAWUWLK-UHFFFAOYSA-N	44.0499992371
pbm-000112	ethanol	C2H6O	CCO	InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3	LFQSCWFLJHTTHZ-UHFFFAOYSA-N	46.0699996948
pbm-000113	sulfoacetic acid	C2H4O5S	C(C(=O)O)S(=O)(=O)O	InChI=1S/C2H4O5S/c3-2(4)1-8(5,6)7/h1H2,(H,3,4)(H,5,6,7)	AGGIJOLULBJGTQ-UHFFFAOYSA-N	140.1199951172
pbm-000116	2,3-dihydroxybutanedioic acid	C4H6O6	C(C(C(=O)O)O)(C(=O)O)O	InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)	FEWJPZIEWOKRBE-UHFFFAOYSA-N	150.0899963379
pbm-000117	tartronic acid	C3H4O5	C(C(=O)O)(C(=O)O)O	InChI=1S/C3H4O5/c4-1(2(5)6)3(7)8/h1,4H,(H,5,6)(H,7,8)	ROBFUDYVXSDBQM-UHFFFAOYSA-N	120.0599975586
pbm-000118	mesoxalic acid	C3H2O5	C(=O)(C(=O)O)C(=O)O	InChI=1S/C3H2O5/c4-1(2(5)6)3(7)8/h(H,5,6)(H,7,8)	XEEVLJKYYUVTRC-UHFFFAOYSA-N	118.0400009155
pbm-000119	carbon disulfide	CS2	C(=S)=S	InChI=1S/CS2/c2-1-3	QGJOPFRUJISHPQ-UHFFFAOYSA-N	76.1500015259
pbm-000120	hydrogen	H2	[HH]	InChI=1S/H2/h1H	UFHFLCQGNIYNRP-UHFFFAOYSA-N	2.0160000324
pbm-000121	methanethiol	CH4S	CS	InChI=1S/CH4S/c1-2/h2H,1H3	LSDPWZHWYPCBBB-UHFFFAOYSA-N	48.1100006104
pbm-000122	tetrathioperoxycarbonic acid	CH2S4	C(=S)(S)SS	InChI=1S/CH2S4/c2-1(3)5-4/h4H,(H,2,3)	YLMCXNYRFRRKDI-UHFFFAOYSA-N	142.3000030518
pbm-000123	1,2,3,4,5-pentathiane	CH2S5	C1SSSSS1	InChI=1S/CH2S5/c1-2-4-6-5-3-1/h1H2	CLYCCGMFKNZNJJ-UHFFFAOYSA-N	174.3999938965
pbm-000124	hexathiepane	CH2S6	C1SSSSSS1	InChI=1S/CH2S6/c1-2-4-6-7-5-3-1/h1H2	JMYWPEQXUQGQNF-UHFFFAOYSA-N	206.3999938965
pbm-000125	dimethyl disulfide	C2H6S2	CSSC	InChI=1S/C2H6S2/c1-3-4-2/h1-2H3	WQOXQRCZOLPYPM-UHFFFAOYSA-N	94.1999969482
pbm-000126	dimethyl trisulfide	C2H6S3	CSSSC	InChI=1S/C2H6S3/c1-3-5-4-2/h1-2H3	YWHLKYXPLRWGSE-UHFFFAOYSA-N	126.3000030518
pbm-000127	dimethyl tetrasulfide	C2H6S4	CSSSSC	InChI=1S/C2H6S4/c1-3-5-6-4-2/h1-2H3	NPNIZCVKXVRCHF-UHFFFAOYSA-N	158.3000030518
pbm-000128	dimethyl pentasulfide	C2H6S5	CSSSSSC	InChI=1S/C2H6S5/c1-3-5-7-6-4-2/h1-2H3	HFHOSCCMQJJVKR-UHFFFAOYSA-N	190.3999938965
pbm-000129	methane	CH4	C	InChI=1S/CH4/h1H4	VNWKTOKETHGBQD-UHFFFAOYSA-N	16.0429992676
pbm-000130	1,2,4-trithiolane	C2H4S3	C1SCSS1	InChI=1S/C2H4S3/c1-3-2-5-4-1/h1-2H2	QHGFEUAAQKJXDI-UHFFFAOYSA-N	124.3000030518
pbm-000131	1,3,5-trithiane	C3H6S3	C1SCSCS1	InChI=1S/C3H6S3/c1-4-2-6-3-5-1/h1-3H2	LORRLQMLLQLPSJ-UHFFFAOYSA-N	138.3000030518
