 2110047.335623 3.722E-30 4.996E-09.07130.095  197.41660.71-.009507       7 1 1 04       0 0 0 01                    P 22e     366653343910 9 811    43.0   45.0
 2110047.706515 8.173E-29 1.172E-07.07870.108   42.92250.67-.009023       6 0 0 15       0 0 0 01                    P 10e     466653343910 9 811    19.0   21.0
 2110049.036720 3.398E-30 4.274E-09.07220.097  163.86840.70-.009335       7 1 1 04       0 0 0 01                    P 20e     366653343910 9 811    39.0   41.0
 2110049.439238 7.057E-29 1.193E-07.08080.111   28.09510.67-.008690       6 0 0 15       0 0 0 01                    P  8e     466653343910 9 811    15.0   17.0
 2110050.722689 2.957E-30 3.575E-09.07310.099  133.43930.69-.009156       7 1 1 04       0 0 0 01                    P 18e     366653343910 9 811    35.0   37.0
 2110051.131758 5.624E-29 1.225E-07.08340.114   16.38900.67-.008283       6 0 0 15       0 0 0 01                    P  6e     466653343910 9 811    11.0   13.0
 2110052.393897 2.441E-30 2.919E-09.07420.101  106.12970.68-.008967       7 1 1 04       0 0 0 01                    P 16e     366653343910 9 811    31.0   33.0
 2110052.783902 3.922E-29 1.288E-07.08660.118    7.80430.68-.007756       6 0 0 15       0 0 0 01                    P  4e     466653343910 9 811     7.0    9.0
 2110054.050710 1.872E-30 2.286E-09.07550.103   81.94010.67-.008765       7 1 1 04       0 0 0 01                    P 14e     366653343910 9 811    27.0   29.0
 2110054.395533 2.020E-29 1.508E-07.09050.123    2.34130.68-.006927       6 0 0 15       0 0 0 01                    P  2e     466653343910 9 811     3.0    5.0
 2110055.693485 1.330E-30 1.722E-09.07700.105   60.87090.67-.008542       7 1 1 04       0 0 0 01                    P 12e     366653343910 9 811    23.0   25.0
 2110056.736842 1.025E-29 7.566E-08.09500.127    0.00000.69-.005167       6 0 0 15       0 0 0 01                    R  0e     466653343910 9 811     3.0    1.0
 2110057.031930 1.222E-30 5.107E-06.06720.082 1966.19230.76-.014597       0 0 0 51       1 0 0 01                    P 38e     466653293910 9 811    75.0   77.0
 2110058.246918 3.044E-29 9.745E-08.08850.120    2.34130.68-.005636       6 0 0 15       0 0 0 01                    R  2e     466653343910 9 811     7.0    5.0
 2110059.716394 4.947E-29 1.035E-07.08490.116    7.80430.67-.006360       6 0 0 15       0 0 0 01                    R  4e     466653343910 9 811    11.0    9.0
 2110060.834170 1.543E-30 5.130E-06.06750.083 1907.71230.76-.014383       0 0 0 51       1 0 0 01                    P 36e     466653293910 9 811    71.0   73.0
 2110061.145351 6.646E-29 1.064E-07.08200.112   16.38900.67-.006985       6 0 0 15       0 0 0 01                    R  6e     466653343910 9 811    15.0   13.0
 2110062.533913 8.076E-29 1.081E-07.07970.109   28.09510.67-.007514       6 0 0 15       0 0 0 01                    R  8e     466653343910 9 811    19.0   17.0
 2110063.882234 9.184E-29 1.091E-07.07780.107   42.92250.67-.007972       6 0 0 15       0 0 0 01                    R 10e     466653343910 9 811    23.0   21.0
 2110064.513100 1.913E-30 5.153E-06.06790.085 1852.34650.75-.014166       0 0 0 51       1 0 0 01                    P 34e     466653293910 9 811    67.0   69.0
 2110065.190488 9.946E-29 1.099E-07.07620.104   60.87090.67-.008378       6 0 0 15       0 0 0 01                    R 12e     466653343910 9 811    27.0   25.0
 2110066.458863 1.036E-28 1.104E-07.07480.102   81.94010.68-.008746       6 0 0 15       0 0 0 01                    R 14e     466653343910 9 811    31.0   29.0
 2110067.687544 1.043E-28 1.109E-07.07370.100  106.12970.68-.009087       6 0 0 15       0 0 0 01                    R 16e     466653343910 9 811    35.0   33.0
 2110068.068790 2.327E-30 5.175E-06.06830.087 1800.09570.75-.013945       0 0 0 51       1 0 0 01                    P 32e     466653293910 9 811    63.0   65.0
 2110068.876706 1.021E-28 1.112E-07.07260.098  133.43930.69-.009405       6 0 0 15       0 0 0 01                    R 18e     466653343910 9 811    39.0   37.0
 2110070.026509 9.733E-29 1.115E-07.07170.096  163.86840.70-.009705       6 0 0 15       0 0 0 01                    R 20e     466653343910 9 811    43.0   41.0
 2110071.137082 9.059E-29 1.118E-07.07090.095  197.41660.71-.009992       6 0 0 15       0 0 0 01                    R 22e     466653343910 9 811    47.0   45.0
 2110071.501350 2.777E-30 5.197E-06.06880.088 1750.96060.74-.013721       0 0 0 51       1 0 0 01                    P 30e     466653293910 9 811    59.0   61.0
 2110072.208526 8.244E-29 1.121E-07.07020.093  234.08340.72-.010266       6 0 0 15       0 0 0 01                    R 24e     466653343910 9 811    51.0   49.0
 2110073.240903 7.344E-29 1.123E-07.06960.091  273.86800.73-.010530       6 0 0 15       0 0 0 01                    R 26e     466653343910 9 811    55.0   53.0
 2110073.641925 1.296E-30 1.543E-09.07780.107   42.92250.67-.007222       7 1 1 04       0 0 0 01                    R 10e     366653343910 9 811    23.0   21.0
