13113064.309086 3.174E-49 2.163E-03.04000.30012041.65380.660.000000       X3/2   8       X1/2   3                PQ  9.5ef     232210 6 7 2 1 1 0    40.0   40.0
13113064.539788 1.226E-49 8.429E-04.04000.30012043.46570.660.000000       X3/2   8       X1/2   3                PQ  9.5fe     232210 6 7 2 1 1 0    40.0   40.0
13113064.895961 4.936E-59 7.243E-04.04000.30016651.16550.660.000000       X1/2   7       X1/2   2                RR 23.5ee     232210 6 7 2 1 1 0   100.0   96.0
13113065.077273 8.497E-60 5.958E-01.04000.30018205.58870.660.000000       X1/2  11       X1/2   5                PP 10.5ff     232210 6 7 2 1 1 0    40.0   44.0
13113067.761458 1.541E-52 1.952E-04.04000.30013185.66560.660.000000       X3/2   8       X1/2   3                QR 12.5ee     232210 6 7 2 1 1 0    56.0   52.0
13113068.296763 1.757E-52 2.553E-03.09500.30013287.20470.660.000000       X1/2   9       X3/2   4                RQ  1.5ef     232210 6 7 2 1 1 0     8.0    8.0
13113068.327963 1.075E-35 3.896E-05.04000.300 4915.13010.660.000000       X1/2   4       X3/2   0                RQ 16.5ef     232210 6 7 2 1 1 0    68.0   68.0
13113068.464729 1.202E-52 1.746E-03.09500.30013287.16540.660.000000       X1/2   9       X3/2   4                RQ  1.5fe     232210 6 7 2 1 1 0     8.0    8.0
13113069.002555 6.565E-61 9.027E-06.04000.30016637.67100.660.000000       X1/2   7       X1/2   2                RR 23.5ff     232210 6 7 2 1 1 0   100.0   96.0
13113070.008757 2.497E-25 8.793E-04.06500.300  289.04470.660.000000       X3/2   4       X1/2   0                PQ  2.5ef     232210 6 7 2 1 1 0    12.0   12.0
13113070.426363 2.036E-25 7.162E-04.06500.300  288.77200.660.000000       X3/2   4       X1/2   0                PQ  2.5fe     232210 6 7 2 1 1 0    12.0   12.0
13113071.518552 9.986E-61 4.509E-03.04000.30017595.21620.660.000000       X3/2  11       X1/2   5                OP  8.5ee     232210 6 7 2 1 1 0    32.0   36.0
13113072.042268 9.897E-52 5.566E-06.04000.30012164.07520.660.000000       X3/2   6       X1/2   1                PQ 21.5fe     232210 6 7 2 1 1 0    88.0   88.0
13113072.739197 2.057E-37 7.084E-07.04000.300 4904.54340.660.000000       X1/2   4       X3/2   0                RQ 16.5fe     232210 6 7 2 1 1 0    68.0   68.0
13113073.321351 1.488E-60 6.683E-03.04000.30017594.10050.660.000000       X3/2  11       X1/2   5                OP  8.5ff     232210 6 7 2 1 1 0    32.0   36.0
13113073.436678 1.831E-50 9.705E-05.04000.30012151.76270.660.000000       X3/2   6       X1/2   1                PQ 21.5ef     232210 6 7 2 1 1 0    88.0   88.0
13113073.464045 2.777E-48 3.379E-06.04000.30010462.35510.660.000000       X1/2   4       X3/2   0                SR 24.5ee     232210 6 7 2 1 1 0   104.0  100.0
13113075.087560 9.472E-47 3.110E-05.04000.30010117.15750.660.000000       X3/2   6       X1/2   1                OP 18.5ee     232210 6 7 2 1 1 0    72.0   76.0
13113075.408470 1.648E-54 2.054E-06.04000.30013182.04200.660.000000       X3/2   8       X1/2   3                QR 12.5ff     232210 6 7 2 1 1 0    56.0   52.0
13113075.979609 1.452E-63 2.252E-03.04000.30018896.26180.660.000000       X1/2  11       X3/2   5                QP 13.5ff     232210 6 7 2 1 1 0    52.0   56.0
13113078.157314 3.894E-47 1.696E-01.04000.30012058.28810.660.000000       X3/2   7       X3/2   2                PP 17.5ff     232210 6 7 2 1 1 0    68.0   72.0
13113082.226071 4.719E-47 1.955E-01.04000.30012047.78280.660.000000       X3/2   7       X3/2   2                PP 17.5ee     342210 6 7 2 1 1 0    68.0   72.0
13113082.366927 1.644E-54 4.240E-05.04000.30013888.55520.660.000000       X3/2   7       X1/2   2                QR 19.5ee     232210 6 7 2 1 1 0    84.0   80.0
13113083.139727 3.175E-63 4.802E-03.04000.30018890.85470.660.000000       X1/2  11       X3/2   5                QP 13.5ee     232210 6 7 2 1 1 0    52.0   56.0
13113083.629163 5.439E-60 7.307E-05.04000.30016632.43230.660.000000       X1/2   7       X3/2   2                RQ 24.5ef     232210 6 7 2 1 1 0   100.0  100.0
13113084.312649 3.241E-47 1.694E-01.04000.30012083.09580.660.000000       X1/2   7       X1/2   2                PP 16.5ee     232210 6 7 2 1 1 0    64.0   68.0
13113084.433838 4.551E-30 2.795E-07.04000.300 1078.50980.660.000000       X3/2   4       X1/2   0                QR  6.5ee     232210 6 7 2 1 1 0    32.0   28.0
13113084.928186 7.519E-29 6.752E-05.04000.300 1654.60010.660.000000       X1/2   4       X3/2   0                QP  9.5ff     232210 6 7 2 1 1 0    36.0   40.0
13113085.807833 7.328E-47 2.718E-06.04000.300 9709.48590.660.000000       X3/2   5       X1/2   0                OP 22.5ee     232210 6 7 2 1 1 0    88.0   92.0
13113086.911807 1.770E-28 1.084E-05.04000.300 1077.85860.660.000000       X3/2   4       X1/2   0                QR  6.5ff     232210 6 7 2 1 1 0    32.0   28.0
13113087.123216 3.860E-47 1.951E-01.04000.30012076.05500.660.000000       X1/2   7       X1/2   2                PP 16.5ff     232210 6 7 2 1 1 0    64.0   68.0
13113087.153534 7.627E-56 7.854E-04.04000.30015005.53160.660.000000       X1/2   9       X3/2   4                SR 10.5ff     232210 6 7 2 1 1 0    48.0   44.0
