 6111005.724200 1.629E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          35333351424110 9 9     0.0    0.0
 6111005.818000 2.620E-26 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          46333351424110 9 9     0.0    0.0
 6111005.869900 3.245E-27 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          34333351424110 9 9     0.0    0.0
 6111005.915600 3.278E-26 0.000E+00.06000.078  293.15000.70-.026000                   0 0 0 0 1A1                   7          35333351424110 9 9     0.0    0.0
 6111005.952900 2.548E-26 0.000E+00.06500.082   62.87000.70-.023000                   0 0 0 0 1A1                   3          46333351424110 9 9     0.0    0.0
 6111006.003500 1.629E-26 0.000E+00.06200.081  219.93000.72-.025000                   0 0 0 0 1A1                   6          35333351424110 9 9     0.0    0.0
 6111006.056800 9.630E-27 0.000E+00.06500.082   62.87000.70-.023000                   0 0 0 0 1A1                   3          36333351424110 9 9     0.0    0.0
 6111006.091100 3.375E-27 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          34333351424110 9 9     0.0    0.0
 6111006.176600 4.811E-26 0.000E+00.06200.081  219.93000.72-.025000                   0 0 0 0 1A1                   6          46333351424110 9 9     0.0    0.0
 6111006.218600 1.324E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          35333351424110 9 9     0.0    0.0
 6111006.265300 1.151E-26 0.000E+00.06000.078  293.15000.70-.026000                   0 0 0 0 1A1                   7          34333351424110 9 9     0.0    0.0
 6111006.371900 7.058E-27 0.000E+00.06500.082   62.87000.70-.023000                   0 0 0 0 1A1                   3          35333351424110 9 9     0.0    0.0
 6111006.415300 1.075E-26 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          36333351424110 9 9     0.0    0.0
 6111006.467000 2.051E-26 0.000E+00.06000.078  293.15000.70-.026000                   0 0 0 0 1A1                   7          35333351424110 9 9     0.0    0.0
 6111006.521400 9.693E-27 0.000E+00.06000.078  293.15000.70-.026000                   0 0 0 0 1A1                   7          34333351424110 9 9     0.0    0.0
 6111006.569400 2.076E-26 0.000E+00.05600.077  376.78000.70-.030000                   0 0 0 0 1A1                   8          35333351424110 9 9     0.0    0.0
 6111006.672500 1.083E-26 3.937E-05.06300.082    0.00000.65-.024000                   0 0 0 0 1A1    1A2            0A1        46333351424110 9 9    15.0    5.0
 6111006.725000 8.023E-26 0.000E+00.06200.081  219.93000.72-.025000                   0 0 0 0 1A1                   6          46333351424110 9 9     0.0    0.0
 6111006.777600 1.254E-26 0.000E+00.06000.078  293.15000.70-.026000                   0 0 0 0 1A1                   7          35333351424110 9 9     0.0    0.0
 6111006.816600 3.868E-27 0.000E+00.06500.080   31.44000.68-.022000                   0 0 0 0 1A1                   2          35333351424110 9 9     0.0    0.0
 6111006.877700 3.952E-27 1.437E-05.06300.082    0.00000.65-.024000                   0 0 0 0 1A1    1A2            0A1        35333351424110 9 9    15.0    5.0
 6111006.909100 7.527E-27 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          35333351424110 9 9     0.0    0.0
 6111006.995700 1.952E-26 0.000E+00.06000.078  293.15000.70-.026000                   0 0 0 0 1A1                   7          35333351424110 9 9     0.0    0.0
 6111007.028800 3.330E-26 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          46333351424110 9 9     0.0    0.0
 6111007.068500 1.976E-26 0.000E+00.06200.081  219.93000.72-.025000                   0 0 0 0 1A1                   6          36333351424110 9 9     0.0    0.0
 6111007.122400 6.653E-26 0.000E+00.05600.077  376.78000.70-.030000                   0 0 0 0 1A1                   8          46333351424110 9 9     0.0    0.0
 6111007.164000 3.066E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          46333351424110 9 9     0.0    0.0
 6111007.220900 1.908E-26 0.000E+00.06200.081  219.93000.72-.025000                   0 0 0 0 1A1                   6          36333351424110 9 9     0.0    0.0
 6111007.263100 1.516E-26 0.000E+00.06500.082   62.87000.70-.023000                   0 0 0 0 1A1                   3          46333351424110 9 9     0.0    0.0
 6111007.321000 4.899E-27 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          34333351424110 9 9     0.0    0.0
 6111007.422900 7.123E-27 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          34333351424110 9 9     0.0    0.0
 6111007.449600 1.843E-26 0.000E+00.06000.078  293.15000.70-.026000                   0 0 0 0 1A1                   7          34333351424110 9 9     0.0    0.0
 6111007.618100 3.298E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          46333351424110 9 9     0.0    0.0
 6111007.645900 9.151E-27 0.000E+00.06500.081  104.78000.73-.021000                   0 0 0 0 1A1                   4          35333351424110 9 9     0.0    0.0
 6111007.714000 2.510E-26 0.000E+00.06000.078  293.15000.70-.026000                   0 0 0 0 1A1                   7          46333351424110 9 9     0.0    0.0
 6111007.780500 1.434E-26 0.000E+00.06500.080   31.44000.68-.022000                   0 0 0 0 1A1                   2          46333351424110 9 9     0.0    0.0
 6111007.854600 1.289E-26 0.000E+00.06500.080   31.44000.68-.022000                   0 0 0 0 1A1                   2          46333351424110 9 9     0.0    0.0
 6111007.959300 2.628E-26 0.000E+00.05500.074  470.80000.69-.027000                   0 0 0 0 1A1                   9          35333351424110 9 9     0.0    0.0
 6111008.083500 3.305E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          46333351424110 9 9     0.0    0.0
 6111008.134200 2.427E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          46333351424110 9 9     0.0    0.0
 6111008.191600 3.270E-27 1.189E-05.06300.082    0.00000.65-.024000                   0 0 0 0 1A1    1A2            0A1        36333351424110 9 9    15.0    5.0
 6111008.234400 1.405E-26 0.000E+00.06300.081   10.48000.65-.019000                   0 0 0 0 1A1                   1          46333351424110 9 9     0.0    0.0
 6111008.282200 6.393E-27 0.000E+00.06500.080   31.44000.68-.022000                   0 0 0 0 1A1                   2          36333351424110 9 9     0.0    0.0
 6111008.312500 9.372E-27 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          35333351424110 9 9     0.0    0.0
 6111008.359800 9.658E-27 0.000E+00.06000.078  293.15000.70-.026000                   0 0 0 0 1A1                   7          35333351424110 9 9     0.0    0.0
 6111008.451300 4.180E-26 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          46333351424110 9 9     0.0    0.0
 6111008.580700 6.912E-26 0.000E+00.05500.074  470.80000.69-.027000                   0 0 0 0 1A1                   9          46333351424110 9 9     0.0    0.0
 6111008.663600 6.592E-26 0.000E+00.06500.082   62.87000.70-.023000                   0 0 0 0 1A1                   3          46333351424110 9 9     0.0    0.0
 6111008.720800 4.362E-26 0.000E+00.06000.078  293.15000.70-.026000                   0 0 0 0 1A1                   7          46333351424110 9 9     0.0    0.0
 6111008.754200 3.732E-26 0.000E+00.06000.078  293.15000.70-.026000                   0 0 0 0 1A1                   7          46333351424110 9 9     0.0    0.0
 6111008.876500 1.807E-26 0.000E+00.05600.077  376.78000.70-.030000                   0 0 0 0 1A1                   8          35333351424110 9 9     0.0    0.0
 6111008.915400 1.798E-26 0.000E+00.06000.078  293.15000.70-.026000                   0 0 0 0 1A1                   7          35333351424110 9 9     0.0    0.0
 6111008.953800 4.869E-27 0.000E+00.06500.082   62.87000.70-.023000                   0 0 0 0 1A1                   3          35333351424110 9 9     0.0    0.0
 6111009.008800 9.332E-27 0.000E+00.06300.081   10.48000.65-.019000                   0 0 0 0 1A1                   1          46333351424110 9 9     0.0    0.0
 6111009.071400 2.759E-26 0.000E+00.06200.081  219.93000.72-.025000                   0 0 0 0 1A1                   6          46333351424110 9 9     0.0    0.0
 6111009.234900 7.964E-27 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          35333351424110 9 9     0.0    0.0
 6111009.278200 5.836E-27 0.000E+00.06400.082  157.13000.72-.030000                   0 0 0 0 1A1                   5          35333351424110 9 9     0.0    0.0
 6111009.315300 3.343E-26 0.000E+00.05600.077  376.78000.70-.030000                   0 0 0 0 1A1                   8          36333351424110 9 9     0.0    0.0
 6111009.366100 2.048E-26 0.000E+00.05600.077  376.78000.70-.030000                   0 0 0 0 1A1                   8          35333351424110 9 9     0.0    0.0
 6111009.403100 2.195E-26 0.000E+00.06500.082   62.87000.70-.023000                   0 0 0 0 1A1                   3          46333351424110 9 9     0.0    0.0
 6111009.470800 7.425E-27 2.701E-05.06300.082    0.00000.65-.024000                   0 0 0 0 1A1    1A2            0A1        46333351424110 9 9    15.0    5.0
